# Supplemental A1–C2 Wortschatz (fills B2/C1/C2). Source: github.com/abdullahbutt/deutsch-lernen-goethe-a1-c2
# lemma	level	article	plural
Schlafzimmer	a1	das	-
Schlagzeile	b1	die	-n
Schlussfolgerung	c1	die	
Schlussfolgerungen ziehen	b2		
Schlüssel	a1	der	-
Schmerz	a1	der	-en
Schmutz	a2	der	
Schnee	a1	der	
Schnittstelle	c1	die	-n
Schnitzel	a2	das	-
Schnupfen	a2	der	
Schokolade	a1	die	-n
Schrank	a1	der	-̈e
Schuh	a1	der	-e
Schulden	b1	die	
Schule	a1	die	-n
Schuljahr	a2	das	-e
Schulter	a2	die	-n
Schwangerschaft	b2	die	
Schwester	a1	die	-n
Schüler	a1	der	-
See	a1	der	-n
Segregation	c1	die	
Sehenswürdigkeit	a2	die	-en
Seite	a1	die	-n
Sekretärin	a1	die	-nen
Selbstbewusstsein	b2	das	
Selbstgefälligkeit	c2	die	
Selbstständigkeit	b1	die	
Semester	b1	das	-
Sendung	a2	die	-en
September	a1	der	
Server	b2	der	-
Sie	a1		
Signifikanz	c1	die	
Skalierbarkeit	c1	die	
Skepsis	c1	die	
Skulptur	b2	die	-en
Software	b2	die	
Sohn	a1	der	-̈e
Solaranlage	b2	die	-n
Solarenergie	b1	die	
Sommer	a1	der	-
Sonderangebot	a2	das	-e
Sonntag	a1	der	-e
Sorge	a1	die	-n
Souveränität	b2	die	
Sozialisierung	c1	die	
Soße	a1	die	-n
Spaß	a1	der	
Speicher	b2	der	-
Speisekarte	a1	die	-n
Spiegel	a2	der	-
Spielplatz	b1	der	-̈e
Sport	a1	der	
Sprache	a1	die	-n
Sprechstunde	a2	die	-n
Spritze	b1	die	-n
Stadion	a2	das	Stadien
Stadt	a1	die	-̈e
Stadtmitte	b1	die	
Stadtteil	b1	der	-e
Stakeholder	c1	die	
Stammzelle	c1	die	-n
Statistik	b2	die	-en
Stau	a2	der	-s
Staubsauger	a2	der	-
Stecker	a2	der	-
Stein	a2	der	-e
Stelle	a1	die	-n
Stellung nehmen	b2		
Stempel	a2	der	-
Sterblichkeitsrate	c1	die	
Steuern	b1	die	
Stigma	c1	das	-ta
Stigmatisierung	c2	die	
Stilfigur	c2	die	-en
Stille Wasser sind tief.	c2		
Stipendium	b1	das	-ien
Stock	a1	der	Stockwerke
Stockwerk	b1	das	-e
Strafe	b2	die	-n
Strafrecht	b2	das	
Strand	a2	der	-̈e
Straße	a1	die	-n
Straßenbahn	a1	die	-en
Stress	b1	der	
Strom	a2	der	
Strömung	c2	die	-en
Student	a1	der	-en
Studentin	a1	die	-nen
Studie	b2	die	-n
Studium	a2	das	
Stuhl	a1	der	-̈e
Stunde	a1	die	-n
Stundenplan	a2	der	-̈e
Sturm	a2	der	-̈e
Sturm und Drang	c2	der	
Stück	a1	das	-e
Subtilität	c2	die	
Subvention	b2	die	-en
Suchmaschine	a2	die	-n
Sunday	a1		
Supermarkt	a1	der	-̈e
Suppe	a1	die	-n
Surrealismus	c2	der	
Symptom	b2	das	-e
Synergie	c2	die	
Säkularisierung	c2	die	
Süden	a1	der	
Süßigkeit	a2	die	-en
TV set	a1		
Tablette	a2	die	-n
Tafel	a1	die	-n
Tag	a1	der	-e
Tal	a2	das	-̈er
Tankstelle	a1	die	-n
Tante	a1	die	-n
Tasche	a1	die	-n
Tasse	a1	die	-n
Taste	a2	die	-n
Taxi	a1	das	-s
Teamarbeit	b1	die	
Tee	a1	der	
Teil	a1	der	-e
Teilzeitarbeit	a2	die	
Telefon	a1	das	-e
Telefonnummer	a1	die	-n
Teller	a1	der	-
Teppich	a2	der	-e
Termin	a1	der	-e
Text	a1	der	-e
Theater	a1	das	-
Theorie	b2	die	-n
Therapie	b1	die	-n
These	c1	die	-n
Thursday	a1		
Ticket	a1	das	-s
Tier	a1	das	-e
Tipp	a1	der	-s
Tisch	a1	der	-e
Tochter	a1	die	-̈
Toilette	a1	die	-n
Tomate	a1	die	-n
Ton macht die Musik.	c2	der	
Topf	a1	der	-̈e
Tor	a2	das	-e
Tragweite	c2	die	
Transparenz	b2	die	
Transplantation	b2	die	-en
Transzendenz	c1	die	
Traum	a1	der	-̈e
Trauma	b2	das	-ta
Treibhauseffekt	b1	der	
Treibhausgas	c1	das	-e
Treppe	a1	die	-n
Triangulation	c2	die	
Tuesday	a1		
Tugend	c1	die	-en
Täter	b2	der	-
Tür	a1	die	-en
Tüte	a1	die	-n
U-Bahn	a1	die	-en
Uhr	a1	die	-en
Uhrzeit	a1	die	-en
Umsatz	b1	der	
Umweg	b1	der	-e
Umwelt	a1	die	
Umweltbewusstsein	b2	das	
Umweltschutz	a2	der	
Umweltverschmutzung	b1	die	
Umzug	a2	der	-̈e
Understatement	c2	das	
Unfall	a1	der	-̈e
Unilateralismus	c2	die	
Unter Berücksichtigung von ...	c1		
Unterkunft	a2	die	-̈e
Unterricht	a2	der	
Unterschrift	a1	die	-en
Untersuchung	a2	die	-en
Urbanisierung	c1	die	
Urheberrecht	b2	das	
Urlaub	a1	der	-e
Ursache	b2	die	-n
Urteil	b2	das	-e
Urteilsbegründung	c1	die	
Utilitarismus	c1	der	
Validität	c1	die	
Variable	c1	die	-n
Vater	a1	der	-̈
Veranstaltung	a1	die	-en
Verantwortung	b1	die	
Verantwortung übernehmen	b2		
Verbindung	a1	die	-en
Verbot	b1	das	-e
Verbrauch	b1	der	
Verbraucher	b1	der	-
Verein	a2	der	-e
Verfahren	b2	das	-
Verfassung	b2	die	
Verfilmung	b2	die	-en
Vergänglichkeit	c2	die	
Verhalten	b2	das	
Verifizierbarkeit	c2	die	
Verjährung	c1	die	
Verkehr	a1	der	
Verkehrsmittel	a1	das	-
Verkäufer	a1	der	-
Verletzung	a2	die	-en
Vermessenheit	c2	die	
Vermieter	a2	der	-
Vernetzung	c1	die	
Verordnung	c1	die	-en
Verpackung	a2	die	-en
Versauerung	c1	die	
Verschlüsselung	b2	die	
Verschmutzung	b1	die	
Verschwendung	b2	die	
Versicherung	a2	die	-en
Verspätung	a2	die	-en
Vertrag	a2	der	-̈e
Verwaltung	b2	die	
Viertel	a1	das	-
Virologie	c1	die	
Visum	a2	das	Visa
Vitamin	a2	das	-e
Volatilität	c1	die	
Volkshochschule	b1	die	
Vollzeitarbeit	b1	die	
Vormittag	a1	der	-e
Vorname	a1	der	-n
Vorort	b1	der	-e
Vorsicht	a1	die	
Vorsorge	b1	die	
Vorsorgeuntersuchung	c1	die	
Vorspeise	a2	die	-n
Vorstellung	a2	die	-en
Vorstellungsgespräch	a2	das	-e
Vorurteil	b1	das	-e
Völkerrecht	c1	das	
Waffenruhe	c2	die	
Wahl	b1	die	-en
Wahlbeteiligung	b2	die	
Wahlfach	b1	das	-̈er
Wahrheit	b1	die	
Wahrnehmung	b2	die	
Wald	a1	der	-̈er
Wand	a1	die	-̈e
Waschmaschine	a2	die	-n
Wasser	a1	das	
Wasserhahn	a2	der	-̈e
Wasserknappheit	c1	die	
Wasserstofftechnologie	c1	die	
Webseite	a2	die	-n
Wednesday	a1		
Weg	a1	der	-e
Wehmut	c2	die	
Weihnachten	a1	die	
Wein	a1	der	-e
Weiterbildung	b1	die	
Welt	a1	die	
Wendung	b2		
Wer A sagt	c2		muss auch B sagen.
Wer die Wahl hat	c2		hat die Qual.
Wer im Glashaus sitzt	c2		soll nicht mit Steinen werfen.
Wer zuerst kommt	c2		mahlt zuerst.
Werbung	b1	die	
Werk	b2	das	-e
Werkstatt	a2	die	-̈en
Wert legen auf	b2		
Wertschöpfungskette	c1	die	
Westen	a1	der	
Wettbewerb	b1	der	
Wettbewerbsfähigkeit	b2	die	
Wetter	a1	das	
Wettrüsten	c2	das	
Widerspenstigkeit	c2	die	
Widerspruch	c1	der	-̈e
Wiese	a2	die	-n
Willensbildung	c1	die	
Willensfreiheit	c1	die	
Wind	a1	der	-e
Windenergie	b1	die	
Windkraftanlage	b2	die	-n
Winter	a1	der	-
Wirtschaft	b1	die	
Wirtschaftskrise	b1	die	
Wissenschaft	b2	die	-en
Woche	a1	die	-n
Wochenende	a1	das	-n
Wohlstand	b1	der	
Wohngemeinschaft	a2	die	
Wohnung	a1	die	-en
Wohnzimmer	a1	das	-
Wolke	a1	die	-n
Wort	a1	das	-̈er
Wunsch	a2	der	-̈e
Wurst	a1	die	-̈e
Zahl	a1	die	-en
Zahlungsfähigkeit	c1	die	
Zahn	a1	der	-̈e
Zahnarzt	a1	der	-̈e
Zebrastreifen	a2	der	-
Zeit	a1	die	-en
Zeitgeist	c2	der	
Zeitschrift	a2	die	-en
Zeitung	a1	die	-en
Zentrum	a1	das	Zentren
Zerrissenheit	c2	die	
Zeuge	b2	der	-n
Zeugnis	a2	das	-se
Zielgruppe	b1	die	-n
Zimmer	a1	das	-
Zinsen	b2	die	
Zivilrecht	c1	das	
Zucker	a1	der	
Zug	a1	der	-̈e
Zulieferer	b2	der	-
Zunächst ist festzuhalten	c1		dass ...
Zusammenarbeit	b1	die	
Zusammenfassend lässt sich feststellen ...	c1		
Zuschauer	a2	der	-
Zuschlag	b1	der	-̈e
Zutat	a2	die	-en
Zuversicht	c2	die	
Zwiebel	a2	die	-n
Zwiespältigkeit	c2	die	
Zünglein an der Waage sein	c2	das	
a	a1		an
a drop in the ocean	c2		
ab	a1		
abbiegen	a2		
abends	a1		
aber	a1		
abfahren	a1		
abholen	a1		
ableiten	c1		
abnehmen	a2		
above	a1		upstairs
abroad	a1		
abschaffen	b2		
abwägen	c1		
accident	a1		
acht	a1		
address	a1		
adult	a1		
afternoon	a1		
afterwards	a1		
again	a1		
against	a1		around
age	a1		
air	a1		
airplane	a1		
airport	a1		
all	a1		everyone
alle	a1		
allein	a1		
almost	a1		
alone	a1		
already	a1		
also	a1		
alt	a1		
always	a1		
an	a1		
anberaumen	c2		
and	a1		
andere	a1		
anerkennen	b2		
anfangen	a1		
angemessen	b2		
angenehm	a2		
anheimfallen	c2		
anheimstellen	c2		
animal	a1		
anmelden	a2		
anmuten	c2		
annehmen	a2		
anprobieren	a2		
anregen	b2		
anrufen	a1		
anstellen	a2		
anstreben	c1		
answer	a1		
antworten	a1		
anwenden	b2		
apartment	a1		
apple	a1		
appointment	a1		
arbeiten	a1		
arbeitslos	a2		
at	a1		on
auch	a1		
auf	a1		
auf Biegen und Brechen	c2		
auf Granit beißen	c2		
auf Widersprüche hinweisen	c2		
auf dem Holzweg sein	c2		
auffordern	b2		
aufgeregt	b1		
aufhören	a2		
aufmerksam	a2		
aufpassen	a2		
aufräumen	a2		
aufwachsen	a2		
aunt	a1		
aus	a1		
aus dem Stegreif	c2		
auslösen	b2		
ausmachen	a2		
ausschlaggebend	b2		
aussehen	a1		
aussteigen	a1		
auswerten	c1		
autumn	a1		
baby	a1		
back	a1		
bad	a1		
bag	a1		pocket
bakery	a1		
balcony	a1		
bald	a1		
banana	a1		
bank	a1		
basement	a1		
beabsichtigen	c2		
beanspruchen	c1		
beanstanden	b2		
beantragen	a2		
beautiful	a1		nice
because	a1		for
because of	a1		
bed	a1		
bedenklich	b2		
bedeuten	a1		
bedeutend	b2		
bedingen	c1		
bedroom	a1		
beeinflussen	b2		
beeinträchtigen	c1		
beer	a1		
before	a1		in front of
befördern	b1		
befürworten	b2		
begeistert	b1		
beginnen	a1		
beginning	a1		
begünstigen	c1		
behelligen	c2		
behind	a1		
bei	a1		
beikommen	c2		
beitragen zu	b2		
beklemmend	c2		
bekommen	a1		
belegen	c1		
belly	a1		stomach
below	a1		downstairs
bemerken	a2		
bemüßigt sein	c2		
benutzen	a1		
bequem	a2		
beraten	a2		
berichten	a2		
berücksichtigen	c1		
berühmt	a2		
bescheiden	b1		
beschreiben	a2		
beseelen	c2		
besichtigen	a2		
besonders	a1		
besorgt	a2		
besser	a1		
best	a1		
beste	a1		
bestehen	a2		
bestellen	a2		
bestreiten	b2		
bestätigen	a2		
beträchtlich	b2		
better	a1		
between	a1		
bewerkstelligen	c2		
bezahlen	a1		
bicycle	a1		
big	a1		tall
bill	a1		check
billig	a1		
biologisch	b1		
birthday	a1		
bis	a1		
bitte	a1		
black	a1		
blau	a1		
bleiben	a1		
blouse	a1		
blue	a1		
board	a1		bar
book	a1		
boring	a1		
boss	a1		
bottle	a1		
boy	a1		
braten	a2		
brauchen	a1		
braun	a1		
bread	a1		
bread roll	a1		
break	a1		pause
breakfast	a1		
bright	a1		light
bringen	a1		
brisant	c1		
broken	a1		
brother	a1		
brown	a1		
building	a1		
bus	a1		
but	a1		
butter	a1		
by hook or by crook	c2		
bye	a1		
bügeln	a2		
café	a1		
cake	a1		
calendar	a1		
can	a1		to be able to
can't see the wood for the trees	c2		
car	a1		
card	a1		map, ticket
cash register	a1		checkout
cat	a1		
caution	a1		
celebration	a1		
center	a1		
chair	a1		
cheap	a1		
cheese	a1		
child	a1		
chocolate	a1		
chronisch	b2		
church	a1		
cinema	a1		
city	a1		
class	a1		
clean	a1		
clear	a1		
clock	a1		watch
closed	a1		
closet	a1		cabinet
clothing	a1		
cloud	a1		
coat	a1		
coffee	a1		
cold	a1		
colleague	a1		
color	a1		
computer	a1		
connection	a1		
correct	a1		right
country	a1		land
course	a1		
cup	a1		
customer	a1		
da	a1		
dangerous	a1		
dankbar	b1		
danke	a1		
dann	a1		
darbieten	c2		
dark	a1		
das	a1		
date	a1		
dauern	a1		
daughter	a1		
day	a1		
dear	a1		nice
dein	a1		
delicious	a1		
dem Rechnung tragen	c2		
demnach	c2		
den Forschungsstand zusammenfassen	c2		
den Horizont erweitern	c2		
den Nagel auf den Kopf treffen	c2		
den Vorzug geben	b2		
den Wald vor lauter Bäumen nicht sehen	c2		
denken	a1		
denn	a1		
dentist	a1		
department store	a1		
departure	a1		
deprimiert	b1		
der/die Erwachsene	a1		-n
deutlich	a2		
dies-	a1		
different	a1		various
differenzieren	c1		
direct	a1		
direction	a1		
direkt	a1		
dirty	a1		
doctor	a1		
dog	a1		
door	a1		
dort	a1		
draußen	a1		
dream	a1		
drei	a1		
dress	a1		
dringend	a1		
drink	a1		beverage
drucken	b1		
dry	a1		
drücken	a2		
dual	b1		
dunkel	a1		
durch	a1		
durchfallen	a2		
durchsetzen	b2		
dünn	a1		
dürfen	a1		
dürftig	c2		
ear	a1		
early	a1		
east	a1		
egal	a1		
egg	a1		
ehrlich	a2		
eifersüchtig	a2		
eigen	a1		
eight	a1		
ein Tropfen auf den heißen Stein	c2		
ein/eine	a1		
eine Behauptung aufstellen	c2		
eine Entscheidung treffen	b2		
eine Frage stellen	b2		
eine Herausforderung darstellen	b2		
eine Hypothese aufstellen	c2		
eine Rolle spielen	b2		
eine These untermauern	c2		
einen Antrag stellen	b2		
einen Beitrag leisten	b2		
einen Beitrag leisten zu	c2		
einen Einwand entkräften	c2		
einen Sachverhalt darlegen	c2		
einen Standpunkt vertreten	c2		
einer kritischen Analyse unterziehen	c2		
einfach	a1		
einhergehen mit	c2		
einkaufen	a1		
einladen	a1		
einmal	a1		
einrichten	a2		
einsam	b1		
einschlägig	c1		
einschränken	c1		
einschätzen	b2		
einsteigen	a1		
einverstanden	a2		
elevator	a1		
email	a1		
empfehlen	a2		
empirisch	c1		
empty	a1		
end	a1		
engineer	a1		
enough	a1		
entdecken	a2		
entrance	a1		
entscheidend	b2		
entstehen	b2		
enttäuscht	b1		
environment	a1		
er	a1		
ergo	c2		
erheblich	b2		
erlauben	a2		
erleben	a2		
erleichtert	b1		
erneuerbar	b1		
erreichen	a2		
erschrocken	b1		
ersetzen	a2		
erst	a1		
erwarten	a2		
erwägen	c1		
erzielen	b2		
erzählen	a1		
erörtern	c1		
erübrigen	c2		
especially	a1		
essen	a1		
etwas	a1		
etwas auf die lange Bank schieben	c2		
evening	a1		
event	a1		
every	a1		each
everywhere	a1		
exactly	a1		
example	a1		
excursion	a1		
exemplarisch	c1		
exercise	a1		
expensive	a1		
eye	a1		
face	a1		
fahren	a1		
family	a1		
far	a1		
fast	a1		
father	a1		
fehlen	a1		
feiern	a2		
female boss	a1		
female doctor	a1		
fernsehen	a1		
fertig	a1		
festival	a1		party
feststellen	b2		
finden	a1		
fire	a1		
first	a1		only
first name	a1		
fish	a1		
five	a1		
fleißig	a2		
fliegen	a1		
floor	a1		ground
flower	a1		
folgerichtig	c2		
food	a1		meal
foot	a1		
football/soccer	a1		
for	a1		
foreign	a1		strange
forest	a1		
fork	a1		
fossilen Brennstoffe	b2	die	
four	a1		
fragen	a1		
free	a1		
free time	a1		
frei	a1		
freilich	c2		
freiwillig	a2		
fremd	a1		
french fries	a1		
fresh	a1		
freundlich	a1		
friend	a1		
friendly	a1		
frisch	a1		
froh	a1		
from	a1		starting from
from where	a1		
fruit	a1		
frying pan into the fire	c2		
fröhlich	b1		
früh	a1		
frühstücken	a1		
full	a1		
fun	a1		
fundiert	c1		
furniture	a1		
further	a1		
fördern	b2		
fühlen	a1		
fünf	a1		
für	a1		
ganz	a1		
garden	a1		
gas station	a1		
gasoline	a1		
geben	a1		
gebraucht	a2		
geduldig	a2		
gefallen	a1		
gefährlich	a1		
gegen	a1		
gegenüberstellen	c1		
gehen	a1		
geläutert	c2		
gemeinhin	c2		
gemütlich	a2		
genau	a1		
genug	a1		
gerade	a1		
geradeaus	a1		
gern	a1		
geschieden	a2		
geschlossen	a1		
geschweige denn	c2		
gestern	a1		
gesund	a1		
gewitzt	c2		
gewährleisten	b2		
geöffnet	a1		
gift	a1		present
girl	a1		
glad	a1		happy
gladly	a1		with pleasure
glass	a1		
glasses	a1		
gleichwohl	c2		
glücklich	a1		
good	a1		
grandfather	a1		
grandma	a1		
grandmother	a1		
grandpa	a1		
grandparents	a1		
grau	a1		
gravierend	c1		
gray	a1		
great	a1		
green	a1		
greeting	a1		
groceries	a1		
groß	a1		
großzügig	b1		
grundlegend	b2		
grün	a1		
guest	a1		
gut	a1		
gültig	b2		
haben	a1		
hair	a1		
halb	a1		
half	a1		
hall	a1		
hallo	a1		
haltbar	b2		
hand	a1		
happy	a1		
hassen	a2		
he	a1		
head	a1		
healthy	a1		
heavy	a1		difficult
heiraten	a2		
heiß	a1		
heißen	a1		
helfen	a1		
hell	a1		
hello	a1		
help	a1		
her	a1		their, you
heranziehen	c1		
herausfinden	b1		
herausfordern	c1		
herausragend	b2		
here	a1		
herunterladen	a2		
hervorrufen	b2		
heute	a1		
hier	a1		
high	a1		tall
highway	a1		
hilfreich	a2		
hilfsbereit	b1		
hin	a1		
hinreichend	c1		
hinter	a1		
hinweisen auf	b2		
hobby	a1		
hoch	a1		
hochladen	a2		
hoffen	a2		
holiday	a1		
holidays	a1		vacation
homeland	a1		
homework	a1		
hospital	a1		
hot	a1		
hotel	a1		
hour	a1		
house	a1		
household	a1		
housewife	a1		
how	a1		like
hunger	a1		
häufig	a2		
höflich	a2		
ice	a1		ice cream
ich	a1		
idea	a1		
ihr	a1		
im Allgemeinen	c2		
immer	a1		
important	a1		
in	a1		
in Abrede stellen	c2		
in Anspruch nehmen	b2		
in Betracht ziehen	b2		
in Betrieb nehmen	b2		
in Erwägung ziehen	b2		
in Frage stellen	b2		
in Kauf nehmen	b2		
in den Diskurs einbringen	c2		
in der Regel	c2		
in front	a1		
in private	c2		
in the evening	a1		
in the morning	a1		
indes	c2		indessen
infolgedessen	c2		
information	a1		
innehalten	c2		
innig	c2		
ins Schwarze treffen	c2		
ins kalte Wasser geworfen werden	c2		
insbesondere	c2		
interdisziplinär	c1		
interessant	a1		
interesting	a1		
internet	a1		
investieren	b1		
it doesn't matter	a1		
ja	a1		
jacket	a1		
jdm. das Wasser reichen können	c2		
jdm. reinen Wein einschenken	c2		
jeder/jede/jedes	a1		
jemand	a1		
jemandem den Wind aus den Segeln nehmen	c2		
jetzt	a1		
job	a1		
joggen	a2		
juice	a1		
jung	a1		
just now	a1		straight
kalt	a1		
kaputt	a1		
kaufen	a1		
kein/keine	a1		
kennen	a1		
key	a1		
kindergarten	a1		
kitchen	a1		
klappen	a2		
klar	a1		
klein	a1		
klettern	a2		
klicken	a2		
knife	a1		
kochen	a1		
kommen	a1		
kommentieren	b1		
kompliziert	a2		
kosten	a1		
kostenlos	a1		
krank	a1		
kurz	a1		
können	a1		
kündigen	a2		
lachen	a1		
lake	a1		
landen	a2		
landläufig	c2		
lang	a1		
langsam	a1		
language	a1		
langweilig	a1		
late	a1		
laufen	a1		
laut	a1		
leben	a1		
lecker	a1		
ledig	a2		
leer	a1		
left	a1		
legitimieren	c1		
leicht	a1		
leid	a1		
leidenschaftlich	b1		
leider	a1		
leihen	a1		
leise	a1		
lernen	a1		
lesen	a1		
letter	a1		
library	a1		
lieb	a1		
lieber	a1		
liegen	a1		
light	a1		easy
line	a1		management
links	a1		
list	a1		
little	a1		few
living room	a1		
long	a1		
loud	a1		
luck	a1		happiness
luggage	a1		
lunch	a1		
lustig	a2		
lösen	a2		
machen	a1		
mail	a1		post office
main train station	a1		
mal	a1		
man	a1		
manchmal	a1		
market	a1		
married	a1		
maybe	a1		
maßgeblich	b2		
meal	a1		
means of transport	a1		
meat	a1		
medicine	a1		
mehr	a1		
mein	a1		
meinen	a1		
menu	a1		
merkwürdig	a2		
message	a1		news
middle	a1		center
midnight	a1		
milk	a1		
minute	a1		
misstrauisch	b1		
mistake	a1		
mit	a1		
mit allen Wassern gewaschen	c2		
mithin	c2		
mitteilen	a2		
mittelfristig	b2		
mobile phone	a1		
moment	a1		
money	a1		
month	a1		
more	a1		
morgen	a1		
morgens	a1		
morning	a1		
mother	a1		
mountain	a1		
mouth	a1		
much	a1		a lot
museum	a1		
music	a1		
must	a1		to have to
mutig	b1		
mutmaßen	c2		
my	a1		
möchten	a1		
mögen	a1		
möglich	a1		
müde	a1		
mühsam	b2		
müssen	a1		
nach	a1		
nachdenken	a2		
nachdenklich	b1		
nachhaltig	b2		
nachher	a1		
nachteilig	c1		
nachweisen	b2		
nah	a1		
nahelegen	c1		
name	a1		
namentlich	c2		
nature	a1		
natürlich	a1		
near	a1		close
neben	a1		
nehmen	a1		
neighbor	a1		
nein	a1		
nennen	a1		
nervös	b1		
nett	a1		
neu	a1		
neue Perspektiven eröffnen	c2		
neugierig	b1		
neun	a1		
never	a1		
new	a1		
newspaper	a1		
next to	a1		
nice	a1		
nicht	a1		
nicht zuletzt	c2		
nichts	a1		
nichtsdestotrotz	c2		
nichtsdestoweniger	c2		
nie	a1		
niemand	a1		
night	a1		
nine	a1		
no	a1		not any
nobody	a1		
noch	a1		
noon	a1		
normal	a1		
north	a1		
nose	a1		
not	a1		
note	a1		
nothing	a1		
now	a1		
number	a1		
nur	a1		
nötig	a2		
ob	a1		
oben	a1		
obliegen	c2		
obwalten	c2		
oder	a1		
of course	a1		
off the cuff	c2		
offen	a1		
offenkundig	c1		
offensichtlich	b2		
oft	a1		
often	a1		
ohne	a1		
old	a1		
ominös	c2		
on	a1		upon
on time	a1		
once	a1		
one	a1		you
only	a1		
open	a1		
opening hours	a1		
operieren	a2		
optimistisch	b1		
or	a1		
orange	a1		
ordentlich	a2		
other	a1		
our	a1		
outside	a1		
over	a1		about
own	a1		
package	a1		
packen	a1		
page	a1		side
pain	a1		
pair	a1		couple
paper	a1		
parents	a1		
park	a1		
parking lot	a1		
part	a1		
partner	a1		
party	a1		
passen	a1		
passieren	a1		
passport	a1		
peinlich	a2		
pen	a1		
people	a1		
per	a1		
perfect tense	a1		
person	a1		human
pessimistisch	b1		
pharmacy	a1		
phone number	a1		
picture	a1		
piece	a1		
place	a1		town
plate	a1		
platform	a1		
plausibel	c1		
please	a1		
plötzlich	a1		
police	a1		
possible	a1		
postcard	a1		
pot	a1		
potato	a1		
praktisch	a2		
price	a1		
prima	a1		
privat	a1		
private	a1		
pro	a1		
probably	a1		
problem	a1		
profession	a1		
program	a1		
putzen	a2		
pünktlich	a1		
quality	a1		
quarter	a1		
question	a1		
quiet	a1		
quite	a1		whole
rain	a1		
rather	a1		preferably
rauchen	a1		
ready	a1		finished
really	a1		
receipt	a1		
rechnen	a1		
recht	a1		
rechts	a1		
recyceln	a2		
red	a1		
reden	a1		
reflektieren	c1		
regelmäßig	a2		
registration	a1		
regnen	a1		
reisen	a1		
relativieren	c1		
renovieren	a2		
rent	a1		
restaurant	a1		
richtig	a1		
right	a1		
river	a1		
roh	a2		
room	a1		space
rot	a1		
round	a1		about
ruhig	a1		
rund	a1		
sachlich	b2		
sagen	a1		
salad	a1		
salesperson	a1		
salt	a1		
sauber	a1		
sauce	a1		
sausage	a1		
schade	a1		
schaffen	a1		
schauen	a1		
scheitern	b2		
schenken	a1		
schicken	a1		
schlafen	a1		
schlecht	a1		
schlechthin	c2		
schließen	a1		
schlimm	a2		
schlüssig	c1		
schmecken	a1		
schmutzig	a1		
schneiden	a1		
schnell	a1		
schon	a1		
school	a1		
schreiben	a1		
schwarz	a1		
schwer	a1		
schwimmen	a1		
schön	a1		
schüchtern	b1		
sea	a1		
season	a1		
secretary	a1		
sehen	a1		
sehr	a1		
sein	a1		
seit	a1		
selbst	a1		
selbstbewusst	b1		
selbstständig	a2		
self	a1		
seltsam	a2		
sensibel	b1		
sentence	a1		
she	a1		they
shoe	a1		
shop	a1		store
short	a1		
should	a1		shall
shower	a1		
siblings	a1		
sich anmaßen	c2		
sich auf dünnem Eis bewegen	c2		
sich aufregen	a2		
sich auseinandersetzen	b2		
sich ausruhen	a2		
sich bedanken	a2		
sich beeilen	a2		
sich benehmen	a2		
sich beschweren	a2		
sich bewähren	b2		
sich einer Prüfung unterziehen	c2		
sich einsetzen für	b2		
sich entscheiden	a2		
sich entschuldigen	a2		
sich erdreisten	c2		
sich erholen	b1		
sich erinnern	a2		
sich freuen	a1		
sich freuen auf	a2		
sich gewöhnen	a2		
sich informieren	a2		
sich kümmern	a2		
sich setzen	a1		
sich streiten	a2		
sich trennen	a2		
sich unterhalten	a2		
sich verabschieden	a2		
sich veranlasst sehen	c2		
sich verhalten	a2		
sich verlieben	a2		
sich verwahren gegen	c2		
sich vorstellen	a2		
sich wundern	a2		
sich ärgern	a2		
sicher	a1		
sicherstellen	c1		
sick	a1		ill
sie	a1		
signature	a1		
simple	a1		easy
since	a1		
sinnieren	c2		
sister	a1		
skirt	a1		
sky	a1		heaven
slow	a1		
small	a1		little
snow	a1		
so	a1		therefore
sollen	a1		
someone	a1		
something	a1		some
sometimes	a1		
somit	c2		
son	a1		
song	a1		
soon	a1		
sorry	a1		
soup	a1		
south	a1		
soziale Medien	b1		
spannend	a2		
sparen	b1		
spazieren gehen	a1		
spielen	a1		
spoon	a1		
sport	a1		
sprechen	a1		
spring	a1		
spät	a1		
stairs	a1		
stark	a1		
stehen	a1		
stichhaltig	c1		
still	a1		yet
stimmen	a1		
stolz	a2		
stomach	a1		
stop	a1		
stornieren	a2		
story	a1		history
straight ahead	a1		
strawberry	a1		
street	a1		
streetwise	c2		
streng	a2		
strong	a1		
student	a1		
studieren	a1		
stur	b1		
stören	a2		
substanziell	c1		
suburban train	a1		
subway	a1		
suchen	a1		
suddenly	a1		
sugar	a1		
suitcase	a1		
summer	a1		
supermarket	a1		
sure	a1		safe
sweet	a1		
sämtlich	b2		
süß	a1		
table	a1		
tanken	a2		
tanzen	a1		
task	a1		exercise
taxi	a1		
tea	a1		
teacher	a1		
telefonieren	a1		
telephone	a1		
ten	a1		
teuer	a1		
text	a1		
thank you	a1		
the	a1		that
the be-all and end-all	c2		
the day after tomorrow	a1		
the day before yesterday	a1		
theater	a1		
thematisieren	c1		
then	a1		
there	a1		
thin	a1		
thing	a1		matter
thirst	a1		
this	a1		
three	a1		
through	a1		
thrown in at the deep end	c2		
ticket	a1		
tiefgreifend	c1		
time	a1		
times	a1		
tip	a1		advice
tired	a1		
to	a1		after
to accept	b2		
to accomplish	c2		
to answer	a1		
to ask	a1		
to attest to	c2		
to be	a1		
to be allowed to	a1		
to be called	a1		
