# Goethe/ÖSD A1–B1 Wortliste. Source: github.com/ilkermeliksitki/goethe-institute-wordlist
# lemma	level	article	plural	example_de
Kissen	b1	das	-(1)	Ohne Kopfkissen kann ich nicht schlafen.
Kiste	b1	die	-n (A, D) → D: Kasten(1)	Ich habe zwei Kisten Bier gekauft.
Klasse	a1	die	-n(1)	In unserer Klasse sind fünfundzwanzig Schüler.
Klassenarbeit	b1	die	-en (D)(1)	Mein Sohn schreibt bei Klassenarbeiten immer gute Noten.
Klavier	a2	das	-e	Jakob kann sehr gut Klavier spielen.
Kleid	a2	das	-er	Julia möchte ein rotes Kleid kaufen.
Kleidung	a1	die		Wo finde ich Kleidung? – Jacken im ersten, Jeans im zweiten Stock.
Kleidung (Sg.)	a2	die		Wo finde ich Kleidung? – Hosen im ersten, Kleider und Röcke im zweiten Stock.
Klick	b1	der	-s(1)	Um das Wort zu markieren, genügt ein Doppelklick mit der linken Maustaste.
Klima	b1	das		Alle sagen, dass sich das Klima ändert.
Klimaanlage	b1	die	-n(1)	Im Sommer brauchen wir eine Klimaanlage.
Klingel	b1	die	-n(1)	Das Telefon klingelt. Drück bitte auf die Klingel!
Klinik	b1	die	-en(1)	Ich muss in die Klinik, um meinen kranken Onkel zu besuchen.
Kloß	b1	der	¨-e (D) → D, A: Knödel(1)	Möchten Sie zum Fleisch Kartoffeln oder Klöße? – Klöße, bitte.
Kneipe	b1	die	-n (D)(1)	Gehen wir noch in eine Kneipe ein Bier trinken?
Knie	b1	das	- (1)	Ich habe mich am Knie verletzt. Jetzt kann ich nicht laufen.
Knochen	b1	der	- (1)	Ich bin hingefallen. Jetzt tun mir alle Knochen weh.
Knopf	b1	der	¨-e(1)	An meiner Jacke fehlt ein Knopf.
Knödel	b1	der	- (D, A) → D: Kloß(1)	Möchten Sie zum Fleisch Erdäpfel oder Knödel? – Knödel bitte.
Koch	b1	der	¨-e(1)	Ein Freund von mir ist Koch in einem teuren Restaurant.
Koffer	a1	der	-	Ist das Ihr Koffer?
Kollege	a1	der	-n	Wie heißt die neue Kollegin?
Kollegin	b1	die	-nen(1)	Mein neuer Kollege ist sehr nett.
Kommunikation	b1	die		Die Kommunikation zwischen den Abteilungen ist gut.
Kompromiss	b1	der	-e(1)	Alle wollen etwas anderes. Wir müssen einen Kompromiss finden.
Konferenz	b1	die	-en(1)	Die Konferenz findet in Raum 19 statt.
Konfitüre	b1	die	-n (CH)(1)	Bring bitte noch ein Glas Konfitüre mit.
Konflikt	b1	der	-e(1)	Das ist ein alter Konflikt.
Konkurrenz	b1	die		Die Reparatur ist mir hier zu teuer. Bei der Konkurrenz bekomme ich sie für die Hälfte.
Konsulat	b1	das	-e(1)	Ein Visum bekommst du auch im Konsulat.
Kontakt	a2	der	-e	Ich habe wenig Kontakt zu meinen Kollegen.
Konto	a1	das	-en	Das Geld überweisen wir am ersten März auf Ihr Konto.
Kontrolle	b1	die	-n(1)	An den Grenzen gibt es kaum noch Kontrollen.
Konzert	a2	das	-e	Für das Konzert am Sonntag gibt es noch Karten.
Kopf	a1	der	¨-e	Mein Kopf tut weh!
Kopie	b1	die	-n(1)	Machst du mir bitte eine Kopie?
Kopierer	b1	der	- (1)	Der Kopierer ist schon wieder kaputt.
Korridor	b1	der	-e (D, CH) → Gang; D: Flur(1)	Wir warten draußen im Korridor.
Kosmetik (Sg.)	a2	die		Kosmetik können Sie im Erdgeschoss kaufen.
Kosten (Pl.)	b1	die		Die Kosten für die Reise bekomme ich von der Firma.
Kostüm	b1	das	-e(1)	In dem Film tragen die Leute bunte Kostüme.
Kraft	b1	die	¨-e(1)	Für diese Arbeit braucht man viel Kraft.
Kraftfahrzeug	b1	das	-e(1)	Auf dieser Straße sind Kraftfahrzeuge nicht erlaubt.
Kraftwerk	b1	das	-e(1)	Die Menschen protestieren gegen das Kraftwerk.
Kranke	b1	der	-n(1)	Kranke brauchen viel Ruhe.
Krankenhaus	a2	das	¨-er	Meine Tante ist im Krankenhaus.
Krankenkasse	a2	die	-n	Bei welcher Krankenkasse sind Sie?
Krankenpfleger	b1	der	- (1)	Mein Bruder arbeitet als Krankenpfleger im Krankenhaus.
Krankenschwester	b1	die	-n(1)	Meine Cousine möchte gern Krankenschwester werden.
Krankenwagen	b1	der	- (1)	Wir mussten einen Krankenwagen rufen.
Krankheit	a2	die	-en	Welche Krankheit hat Herr Brandner?
Kredit	a2	der	-e	Ich brauche einen Kredit von der Bank.
Kreditkarte	b1	die	-n(1)	Kann ich mit Kreditkarte zahlen?
Kreis	b1	der	-e(1)	Die Kinder sitzen im Kindergarten im Kreis.
Kreuz	b1	das	-e(1)	Was bedeutet dieses Kreuz hier?
Kreuzung	a2	die	-en	Fahren Sie an der nächsten Kreuzung rechts.
Krieg	b1	der	-e(1)	Es herrscht noch immer Krieg in diesem Land.
Krimi	a2	der	-s	Miriam liest gern spannende Krimis.
Kriminal- die Kriminalpolizei	b1			Ein Nachbar von uns arbeitet bei der Kriminalpolizei.
Krise	b1	die	-n(1)	Die Wirtschaft steckt in einer schweren Krise.
Kritik	b1	die	-en(1)	Es gibt viel Kritik an der Politik der Regierung.
Kuchen	a1	der	-	Ich nehme ein Stück Kuchen.
Kugelschreiber	a1	der	- (1)	Hast du einen Kugelschreiber für mich?
Kuli	b1	der	-s(1)	Hast du einen Kuli für mich?
Kultur	a2	die	-en	Ich finde fremde Länder und Kulturen sehr interessant.
Kunde	a1	der	-n	Einen Moment, bitte. Ich habe eine Kundin.
Kundin	b1	die	-nen(1)	Sie ist schon lange bei mir Kundin. Ich habe ihr einen Sonderpreis gegeben.
Kunst	a2	die	¨-e	Ich verstehe nichts von moderner Kunst.
Kunststoff	b1	der	-e(1)	Der Stuhl ist aus Kunststoff.
Kurs	a1	der	-e	Der Deutschkurs geht bis zum Sommer.
Kursleiter	b1	der	- (1)	Die Kursleiterin ist mit unserer Kursgruppe manchmal in den Computerraum gegangen.
Kursleiterin	b1	die	-nen(1)	Die Kursleiterin ist mit unserer Kursgruppe manchmal in den Computerraum gegangen.
Kurve	b1	die	-n(1)	Fahr bitte nicht so schnell in die Kurven.
Kuss	b1	der	¨-e(1)	Gib der Mama einen Kuss!
Kuvert	b1	das	-s (A) → der Briefumschlag; CH: Couvert(1)	Ich hätte gern 50 Kuverts und Briefmarken dazu.
Kälte	b1	die		Bei dieser Kälte fahre ich nicht mit dem Fahrrad.
Käse	b1	der		Möchtest du Käse aufs Brot?
Käse (Sg.)	a2	der		Isst du lieber Käse oder Wurst?
Käufer	b1	der	-(1)	Ich habe schon einen Käufer für den alten Tisch.
Käuferin	b1	die	-nen(1)	Ich habe schon eine Käuferin für den alten Tisch.
Köchin	b1	die	-nen(1)	Eine Freundin von mir ist Köchin in einem teuren Restaurant.
König	b1	der	-e(1)	Der spanische König ist in Deutschland zu Besuch.
Körper	a2	der	-	Der Arzt sagt, ich muss etwas für meinen Körper tun, z. B. schwimmen oder Fahrrad fahren.
Küche	a1	die	-n	Der neue Herd kommt in die Küche.
Kühlschrank	a1	der	¨-e	Haben wir noch Milch? – Ja, im Kühlschrank.
Kündigung	b1	die	-en(1)	Ich habe die Kündigung bekommen. Jetzt bin ich arbeitslos.
Künstler	b1	der	- (1)	In diesem Stadtteil wohnen viele Künstlerinnen.
Künstlerin	b1	die	-nen(1)	Neben uns wohnt eine Musikerin.
Küste	b1	die	-n(1)	Unser Dorf liegt direkt an der Küste.
Laden	a1	der	-ä	Im Buchladen können Sie Bücher kaufen.
Lage	b1	die		Wir suchen eine Wohnung an/in zentraler Lage.
Lager	b1	das	- (1)	Ich weiß nicht, ob wir diesen Schuh in Ihrer Größe haben. Ich sehe mal im Lager nach.
Lampe	a2	die	-n	Mach bitte die Lampe an. Es ist so dunkel.
Land	a1	das	-ä, er	Italien ist ein schönes Land.
Landschaft	a2	die	-en	Die Landschaft ist sehr schön.
Landung	b1	die	-en(1)	Bei der Landung müssen Sie sich anschnallen.
Landwirtschaft	b1	die		Auf dem Land arbeiten die meisten Leute in der Landwirtschaft.
Langeweile	b1	die		Es ist aus Langeweile eingeschlafen.
Laster	b1	der	- (1)	Auf der Autobahn waren so viele Laster. Deshalb hat es so lange gedauert.
Laufwerk	b1	das	-e(1)	Für meinen Computer habe ich mir ein neues Laufwerk gekauft.
Laune	b1	die	-n(1)	Heute geht es mir besser, aber gestern hatte ich richtig schlechte Laune.
Lautsprecher	b1	der	- (1)	Bitte achten Sie auch auf die Lautsprecher-Ansagen am Bahnhof.
Leben	a1	das	-	Das Leben in diesem Land ist teuer.
Lebenslauf	b1	der	¨-e(1)	Hast du den Lebenslauf für die Bewerbung schon geschrieben?
Lebensmittel (Pl.)	a2	die		Lebensmittel bekommen Sie im Supermarkt.
Lebensmittel (pl.)	a1	die		Lebensmittel bekommen Sie im Supermarkt.
Leder	b1	das		Ist die Tasche aus Leder?
Lehre	b1	die		Mein Cousin will eine dreijährige Lehre machen.
Lehrer	a1	der	–	Unsere Deutschlehrerin heißt Frau Müller.
Lehrling	b1	der	-e(1)	Als Lehrling verdient man nicht sehr viel Geld.
Lehrstelle	b1	die	-n(1)	Es sind noch viele Lehrstellen frei.
Leistung	b1	die	-en(1)	Meine Leistungen in der Schule sind ganz gut.
Leiter	b1	die	-n(1)	Haben Sie eine Leiter für mich? Ich will die Fenster putzen.
Leitung	b1	die	-en(1)	Ab 1. Juli übernimmt Herr Meier die Leitung der Abteilung.
Lerner	b1	der	- (1)	Sie ist eine fleißige Lernerin.
Lernerin	b1	die	-nen(1)	Sie ist eine fleißige Lernerin.
Leser	b1	der	- (1)	Die Leserinnen und Leser sind mit der Zeitung zufrieden.
Leute (Pl.)	a2	die		Auf der Party sind viele Leute.
Leute (pl.)	a1	die		In der Disko sind viele Leute.
Lexikon	b1	das	-Lexika(1)	Wir könnten im Lexikon nachsehen.
Licht	a1	das	-er	Wo macht man hier das Licht an?
Liebe	b1	die		Wir haben aus Liebe geheiratet.
Lieblings-	a1			Mein Lieblingsfilm ist Schwarze Augen.
Lied	a1	das	-er	Welches ist dein Lieblingslied?
Lieferung	b1	die	-en(1)	Sie bezahlen erst bei der Lieferung.
Lift	b1	der	-e (1)	Im Büro ist leider der Lift kaputt.
Limonade	b1	die	-n(1)	Die Limonade ist sehr süß.
Linie	b1	die	-n(1)	Zum Hauptbahnhof können Sie mit der Linie 8 fahren.
Link	a2	der	-s	Ich schicke dir einen Link zu Deutschübungen.
Lippe	b1	die	-n(1)	Es ist sehr kalt. Meine Lippen sind ganz trocken.
Liste	b1	die	-n(1)	Was brauchen wir für die Party? – Mach doch eine Einkaufsliste.
Literatur	b1	die		Ich interessiere mich für Literatur.
Lkw	a1	der	-s	Dieser Lastkraftwagen ist sehr groß.
Loch	b1	das	¨-er(1)	Ich habe ein Loch im Zahn. Ich muss zum Zahnarzt.
Lohn	b1	der	¨-e(1)	Sie bekommen Ihren Lohn immer am Ende des Monats.
Lokal	a1	das	-e	In unserer Straße gibt es ein neues Lokal.
Luft	b1	die		Oh, hier ist aber schlechte Luft.
Lust	b1	die		Ich habe keine Lust zu grillen.
Lust (Sg.)	a2	die		Gehen wir heute Abend ins Kino? - Nein, ich habe keine Lust.
Länge	b1	die		Mein Schreibtisch hat folgende Maße: Länge 1.20 m, Breite: 0,85 m, Höhe: 0,75 m.
Lärm	b1	der		Die Flugzeuge machen einen schrecklichen Lärm.
Löffel	a2	der	-	Bitte bringen Sie mir einen Löffel.
Lösung	a1	die	-en	Die Lösung ist ganz einfach.
Lüge	a2	die	-n	Das stimmt nicht! Das ist eine Lüge!
Magazin	b1	das	-e(1)	Jugendliche lesen dieses Magazin gern.
Magen	a2	der	¨-	Mein Magen tut weh.
Mahlzeit	b1	die	-en(1)	Die Tropfen bitte immer nach den Mahlzeiten einnehmen.
Mahnung	b1	die	-en(1)	Wenn du die Rechnung nicht pünktlich bezahlst, bekommst du eine Mahnung.
Mailbox	a2	die	-en	Hier ist die Mailbox von Susanne König.
Mal	b1	das	-e(1)	Das machen wir nächstes Mal.
Maler	b1	der	-(1)	Wir haben die Maler im Haus. Wir lassen die Wände neu streichen.
Mangel	b1	der	¨-(1)	In dieser Stadt gibt es einen großen Mangel an Wohnungen.
Mann	a1	der	-ä, er	Mein Mann arbeitet bei der Polizei.
Mannschaft	a2	die	-en	Meine Lieblingsmannschaft hat 1:0 verloren.
Mantel	a2	der	¨-	Es ist kalt. Zieh deinen Mantel an!
Markt	a2	der	¨-e	Ich gehe heute auf den Markt.
Marmelade	b1	die	-n (D, A) (1)	Bring bitte noch ein Glas Marmelade mit.
Maschine	a1	die	-n	Die Waschmaschine ist günstig.
Material	b1	das		Aus welchem Material ist der Schrank? – Aus Holz.
Matura (A	b1	die	CH) → D: Abitur(1)	Meine Tochter hat gerade die Matura gemacht.
Mauer	b1	die	-n(1)	Die Kinder sind über die Mauer geklettert.
Mechaniker	b1	der	-(1)	Das kann nur ein Mechaniker reparieren.
Medien (Pl.)	b1	die		Umweltschutz ist in den Medien ein großes Thema.
Medikament	a2	das	-e	Nehmen Sie dieses Medikament dreimal pro Tag!
Medizin	b1	die		Du musst noch deine Medizin nehmen.
Meer	a1	das	-e	Wir machen Urlaub am Meer.
Mehl	b1	das		Ich möchte einen Kuchen backen. Ist noch genug Mehl da?
Mehrheit	b1	die	-en(1)	Die Mehrheit der Menschen in Deutschland besitzt ein Handy.
Mehrwertsteuer	b1	die		Die Mehrwertsteuer bei diesem Produkt beträgt 20 %.
Meinung	a2	die	-en	Meine Meinung zu dem Thema ist: …
Meister	b1	der	-(1)	Ich weiß nicht, wie man das macht. – Dann frag doch den Meister.
Meldung	b1	die	-en(1)	Hast du die Meldung im Radio gehört? Es wird starken Sturm geben.
Menge	a2	die	-n	Wir haben noch eine Menge Zeit.
Mensa	b1	die	-s/-en(1)	Ich esse fast jeden Tag in der Mensa.
Mensch	a1	der	-en	Die Menschen sind hier anders als bei uns.
Menü	b1	das	-s(1)	Nimm doch das Menü, das sieht gut aus.
Messe	a2	die	-n	Kommst du mit zur Buchmesse nach Frankfurt?
Messer	a2	das	-	Das Messer schneidet nicht gut.
Metall	b1	das	-e(1)	Dieser Tisch hier ist ganz aus Metall.
Methode	b1	die	-n(1)	Weißt du eine gute Methode, um schnell gut Deutsch zu lernen?
Metropole	b1	die	-n(1)	Berlin und Wien sind Metropolen.
Metzger	b1	der	- (1)	Dieser Metzger hat sehr gute Wurst.
Miete	a1	die	-n	Die Miete für diese Wohnung ist 600 Euro.
Mieter	b1	der	-(1)	Sie hat heute neue Mieter für die Wohnung gefunden.
Migrant	b1	der	-en(1)	Viele Migranten kommen aus Osteuropa.
Migration	b1	die		Gestern gab es im Fernsehen eine Diskussion zum Thema Migration.
Milch	a1	die		Die Milch steht im Kühlschrank.
Milch (Sg.)	a2	die		Die Milch steht im Kühlschrank.
Minderheit	b1	die	-en(1)	Frauen sind in unserer Firma in der Minderheit.
Mineralwasser	b1	das		Kann ich bitte ein Mineralwasser haben?
Mineralwasser (Sg.)	a2	das		Ein Glas Mineralwasser, bitte.
Mitarbeiter	a2	der	-	Unsere Firma hat sieben Mitarbeiter.
Mitarbeiterin	b1	die	-nen(1)	Die Mitarbeiterin hat den Bericht geschrieben.
Mitglied	b1	das	-er(1)	Für Mitglieder ist der Eintritt zum Konzert gratis.
Mittagessen	a2	das	-	Um zwölf Uhr gibt es Mittagessen.
Mitte	a1	die	-n	Der Lehrer steht in der Mitte des Klassenzimmers.
Mittel	a2	das	-	Haben Sie ein Mittel gegen Magenschmerzen?
Mobilbox	b1	die	-en(1)	Ich habe zwei Nachrichten auf meiner Mobilbox.
Mobilität	b1	die	-en(1)	Sprachen zu lernen fördert die Mobilität.
Mobiltelefon	a2	das	-e	Wie kann ich Sie erreichen? Haben Sie ein Mobiltelefon?
Mode	a2	die	-n	Wie findest du die neue Mode?
Modell	b1	das	-e(1)	Wie findest du dieses Auto? – Dieses Modell gefällt mir nicht.
Moment	a1	der	-e	Moment mal bitte!
Mond	b1	der	-e(1)	Bei Vollmond kann ich nicht schlafen.
Monitor	b1	der	-e(1)	Ich habe mir einen größeren Monitor gekauft. Das ist besser für meine Augen.
Motor	a2	der	-en	Der Motor ist kaputt. Das Auto fährt nicht mehr.
Motorrad	b1	das	¨-er(1)	Oskar fährt jeden Tag mit dem Motorrad zur Arbeit.
Motorroller	a2	der	-	Oskar fährt mit dem Motorroller zur Arbeit.
Mund	a1	der	¨-er	Öffnen Sie den Mund.
Museum	a2	das	-een	Im Kunstmuseum gibt es eine neue Ausstellung.
Musik	b1	die	-en(1)	Wie findest du die Musik?
Musik (Sg.)	a2	die		Wie findest du die Musik?
Musiker	b1	der	-(1)	Mein Bruder möchte Musiker werden.
Musikerin	b1	die	-nen(1)	Die Musikerin hat ein tolles Konzert gegeben.
Muskel	b1	der	-n(1)	Im Fitness-Studio trainieren wir unsere Muskeln.
Mut	b1	der		Man braucht viel Mut, um in einem fremden Land ganz neu anzufangen.
Mutter	a1	die	-ü	Frau Berghäuser ist die Mutter von Michaela.
Muttersprache	b1	die	-n(1)	Was ist Ihre Muttersprache?
Mädchen	a1	das	–	Familie Kurz bekommt ein Baby. – Junge oder Mädchen?
Möbel	b1	das	-(1)	Wir haben uns neue Möbel gekauft.
Möbel (Pl.)	a2	die		Eure Möbel sind sehr schön.
Möbel (pl.)	a1	die		Sind die Möbel neu?
Möglichkeit	b1	die	-en(1)	Sie wollen ans Meer? Da gibt es mehrere Möglichkeiten.
Möhre	b1	die	-n (D) → Karotte; CH: Rüebli(1)	Hasen fressen gern Möhren.
Müesli/Müsli	b1	das	-(1)	Zum Frühstück gibt es Müsli mit Obst.
Mühe	b1	die		Vielen Dank für Ihre Mühe.
Müll	b1	der		Bringst du bitte noch den Müllsack raus?
Müll (Sg.)	a2	der		Bringst du bitte den Müll raus?
Müllabfuhr	b1	die		Die Müllabfuhr kommt zweimal pro Woche.
Mülltonne	b1	die	-n(1)	Die Mülltonne ist voll.
Münze	b1	die	-n(1)	Der Automat nimmt nur Münzen.
Mütze	a2	die	-n	Haben Sie rote Mützen?
Nachbar	a2	der	-n	Mein Nachbar kommt aus Brasilien und meine Nachbarin ist Italienerin.
Nachfrage	b1	die	-n(1)	Die Nachfrage für dieses Produkt ist groß.
Nachhilfe	b1	die	-n(1)	Der Schüler braucht Nachhilfe in Mathematik.
Nachricht	a2	die	-en	Ich sehe abends immer die Nachrichten im Fernsehen.
Nachspeise	b1	die	-n (D, A) → Dessert(1)	Nach dem Essen gab es noch eine leckere Nachspeise.
Nachteil	b1	der	-e(1)	Einen Nachteil hat die Wohnung. Sie liegt nicht zentral.
Nachwuchs	b1	der		Der Nachwuchs bei Forschern soll gefördert werden.
Nadel	b1	die	-n(1)	Hast du eine Nadel für mich? Ich muss einen Knopf annähen.
Nagel	b1	der	¨-(1)	Kannst du mir den Nagel in die Wand schlagen?
Nahrungsmittel	b1	das	-(1)	In diesen Ländern fehlen vor allem Nahrungsmittel.
Name	a1	der	-n(1)	Mein Name ist Thomas Schmidt.
Nase	b1	die	-n(1)	Haben Sie Nasentropfen? Ich bin stark erkältet.
Natur	b1	die		Ich bin gern draußen in der Natur.
Natur (Sg.)	a2	die		Ich bin gern draußen in der Natur.
Nebel	b1	der	-(1)	Wegen Nebels konnten wir gestern nicht in Frankfurt landen.
Neffe	b1	der	-n(1)	Meine Schwester hat zwei Kinder. Meine Neffen sind drei und fünf Jahre alt.
Nerv	b1	der	-en(1)	Er leidet an einer Nervenkrankheit.
Netz	b1	das	-e(1)	Bitte bring ein Netz Orangen.
Netzwerk	b1	das	-e(1)	Soziale Netzwerke sind wichtig.
Neuigkeit	b1	die	-en(1)	In dieser Sache gibt es keine Neuigkeiten.
Nichte	b1	die	-n(1)	Die Tasche ist ein Geschenk von meiner Nichte.
Nichtraucher	b1	der	-(1)	In unserer Familie sind alle Nichtraucher.
Not-	b1			Die Notaufnahme ist gleich hier links.
Note	a2	die	-n	Eva hat immer sehr gute Noten in Deutsch.
Notiz	a2	die	-en	Schreib mir bitte eine Notiz.
Notruf	b1	der		Der Notruf hat die Nummer 110.
Nudel	a2	die	-n	Möchten Sie lieber Reis oder Nudeln? – Lieber Nudeln, bitte.
Nummer	a1	die	-n(1)	Sie haben Zimmer Nummer zwölf.
Nähe	b1	die		Die Post ist ganz in der Nähe vom Bahnhof.
Nähe (Sg.)	a2	die		Die Post ist in der Nähe vom Bahnhof.
Obst	a1	das		Im Sommer ist das Obst billig.
Obst (Sg.)	a2	das		Obst kaufe ich immer auf dem Markt. Heute kaufe ich Äpfel und Orangen.
Ohr	a2	das	-en	Ich habe Ohrenschmerzen.
Oma	a1	die	-s	Meine Oma ist schon tot.
Onkel	b1	der	-(1)	Nächste Woche fahre ich zu meinem Onkel nach Berlin.
Opa	a1	der	-s	Mein Opa heißt Hans.
Oper	b1	die	-n(1)	Ich mag Opern.
Operation	b1	die	-en(1)	Seit der Operation kann ich mein Knie nicht mehr bewegen.
Opfer	b1	das	-(1)	Bei der Schiffskatastrophe gab es viele Opfer.
Orange	a2	die	-n	Ich esse gern Orangen.
Orchester	b1	das	-(1)	Auf unserer Hochzeit hat ein kleines Orchester gespielt.
Ordination	b1	die	-en (A) (1)	Die Ordination bleibt bis zum 7. Jänner geschlossen.
Ordner	b1	der	-(1)	Für meine Übungen im Deutschkurs habe ich mir einen Ordner gekauft.
Ordnung	a1	die	-en	Das ist in Ordnung.
Original	b1	das	-e(1)	Das Original ist für Sie. Wir bekommen die Kopie.
Ort	a1	der	-e	Der Ort liegt am Meer.
Ozean	b1	der	-e(1)	Dieses Schiff fährt über den Atlantischen Ozean.
Paar	a2	das	-e	Romeo und Julia sind ein Paar.
Paket	a2	das	-e	Bringst du bitte das Paket zur Post?
Panne	b1	die	-n(1)	Kurz vor München hatten wir eine Panne mit dem Auto.
Papier	a1	das	-e	Hier sind Papier und Bleistift.
Papiere (Pl.)	a2	die		Haben Sie Ihre Papiere dabei?
Papiere (pl.)	a1	die		Haben Sie Ihre Papiere dabei?
Paradeiser	b1	der	- (A) (1)	Kauf bitte noch Paradeiser auf dem Markt.
Parfüm	a2	das	-s	Ich suche ein Parfum als Geschenk für meine Frau.
Park	a2	der	-s	Ich gehe gern im Park spazieren.
Partner	a1	der	-/ die Partnerin, -nen	Sie ist meine Partnerin.
Partnerin	a2	die	-nen	Veronika ist meine Partnerin.
Party	a1	die	-s	Heute Abend machen wir eine Party.
Pass	a1	der	-ä, e	Im Hotel brauchst du deinen Pass.
Passagier	b1	der	-e(1)	Die Passagiere Schulz und Kaufmann sollen bitte zur Information kommen.
Passagierin	b1	die	-nen(1)	Die Passagierin hat ihre Tasche verloren.
Passwort	a2	das	¨-er	Bitte schreiben Sie Ihr Passwort.
Patient	b1	der	-en(1)	Ich bin Patientin bei Dr. Hausner. Ich möchte bitte einen Termin.
Patientin	b1	die	-nen(1)	Die Patientin hat ihre Ergebnisse bekommen.
Pause	a1	die	-n	Von 12.00 bis 12.30 Uhr haben wir Mittagspause.
Pech	b1	das		Es regnet. Unser Picknick fällt leider aus. – So ein Pech!
Pension	b1	die	-en(1)	Im Urlaub haben wir in einer kleinen Pension gewohnt.
Pensionist	b1	der	-en (1)	Meine Großmutter arbeitet nicht mehr. Sie ist Pensionistin.
Pensionistin	b1	die	-nen (2)	Meine Großmutter arbeitet nicht mehr. Sie ist Pensionistin.
Perron	b1	der	-s (CH) (1)	Auf Hauptbahnhöfen gibt es meist viele Perrons.
Person	a2	die	-en	Eintritt pro Person: 5 Euro.
Personal	b1	das		Dieser Eingang ist nur für das Personal.
Personalien (Pl.)	b1	die		Mein Kollege wird Ihre Personalien aufnehmen.
Personenstand	b1	der		Bei Personenstand musst du ledig ankreuzen.
Pfanne	b1	die	-n (1)	Hast du keine größere Pfanne? Ich möchte Kartoffeln kochen.
Pfeffer	b1	der		Bringen Sie uns bitte Pfeffer und Salz.
Pferd	a2	das	-e	Amira liebt Pferde. Sie reitet seit zehn Jahren.
Pflanze	a2	die	-n	Können Sie sich bitte um unsere Pflanzen kümmern? Wir sind nächste Woche im Urlaub.
Pflaster	b1	das	- (1)	Hast du ein Pflaster? Ich habe mich geschnitten.
Pflaume	b1	die	-n(1)	Ich esse gern Pflaumen und noch lieber Pflaumenkuchen.
Pfleger	b1	der	-(1)	Meine Freundin ist Pflegerin in einem Altersheim.
Pflegerin	b1	die	-nen(1)	Die Pflegerin kümmert sich um die Patienten.
Pflicht	b1	die	-en(1)	Als Autofahrer müssen Sie eine Versicherung haben. Das ist Pflicht.
Phantasie/Fantasie	b1	die	-n(1)	Mein Sohn malt sehr gut. Er hat viel Phantasie.
Picknick	b1	das	-s(1)	Am Sonntag machen wir ein Picknick.
Pille	b1	die	-n(1)	Der Arzt hat mir neue Pillen verschrieben.
Pilz	b1	der	-e (1)	Haben Sie frische Pilze?
Pizza	a2	die	-s/-en	Mein Lieblingsessen ist Pizza.
Plakat	a2	das	-e	Wir machen im Unterricht ein Plakat zum Thema „Essen und Trinken“.
Plan	a1	der	-ä, e	Ich kaufe mir einen Stadtplan.
Planung	b1	die	-en(1)	Unsere Planung für das Sommerfest steht schon lange.
Plastik	b1	das		Was für ein Spielzeug möchten Sie? Aus Plastik oder aus Holz?
Platz	a1	der	-ä, e(1)	Tut mir leid, der Platz ist besetzt.
Politik	b1	die		Ich interessiere mich nicht für Politik.
Politiker	b1	der	-(1)	Weißt du, wie dieser Politiker heißt?
Politikerin	b1	die	-nen(1)	Die Politikerin hat eine Rede gehalten.
Polizei	a1	die		Holen Sie die Polizei!
Polizei (Sg.)	a2	die		Rufen Sie die Polizei!
Polizist	b1	der	-en(1)	Die Ampel war kaputt. Ein Polizist hat den Verkehr geregelt.
Polizistin	b1	die	-nen(1)	Die Polizistin hat den Unfall aufgenommen.
Pommes frites (Pl.)	a2	die		Die Kinder essen Bratwurst mit Pommes frites.
Pommes frites (pl.)	a1	die		Die Kinder essen Hähnchen mit Pommes frites.
Portemonnaie/Portmonee	b1	das	-s (D, CH) (1)	Ich habe nur Kleingeld in meinem Portemonnaie.
Portion	a2	die	-en	Ich nehme eine kleine Portion Eis.
Post	a1	die		Wo ist die Post, bitte?
Post (Sg.)	a2	die		Entschuldigung, wo ist die Post?
Poster	a2	das	-	Das Poster hängt über dem Bett.
Postkarte	a2	die	-n	Schreibst du mir eine Postkarte aus Kanada?
Postleitzahl	a1	die	-en	Wie ist Ihre Postleitzahl?
Poulet	b1	das	-s (CH) (1)	Zum Mittagessen gibt es Poulet mit Reis.
Praktikant	b1	der	-en(1)	Bei dieser Firma habe ich zwei Jahre als Praktikantin gearbeitet.
Praktikantin	b1	die	-nen(1)	Ich habe diesen Sommer als Praktikantin gearbeitet.
Praktikum	a1	das	-a	Ich mache ein Praktikum bei Siemens.
Praxis	a1	die	-en	Die Praxis ist ab acht Uhr geöffnet.
Preis	a1	der	-e	Die Preise sind hoch.
Presse	b1	die		Darüber konnte sich jeder in der Presse informieren.
Problem	a1	das	-e	Mein Problem ist die Sprache.
Produkt	a2	das	-e	Unsere Produkte haben eine sehr hohe Qualität.
Produktion	b1	die		Die Produktion von Käse dauert oft viele Wochen.
Professor	b1	der	-en(1)	Unsere Nachbarin ist Professorin an der Universität.
Profi	b1	der	-s(1)	Keine Angst. Mein Bruder kann die Heizung bestimmt reparieren. Er ist doch ein Profi.
Profisportler	b1	der	- (1)	Mein Sohn möchte Profisportler werden.
Programm	a2	das	-e	Dieses Programm im Radio interessiert mich nicht.
Projekt	a2	das	-e	Wir machen ein Projekt über Sehenswürdigkeiten in unserer Stadt.
Prospekt	a1	der	-e	Bitte schicken Sie mir einen Prospekt von Ihrem Hotel.
Prost	b1			Wir trinken auf Ihre Gesundheit! Prost!
Protest	b1	der	-e(1)	Alle Proteste haben nichts genützt.
